sid,bid,tid,stimulus_location,response_location,response_time,response_deadline,error
5,2,163,5,5,0.3470801000483334,0.7,0
5,2,164,1,1,0.4374649996869266,0.7,0
5,2,165,2,2,0.30239539984613656,0.7,0
5,2,166,4,5,0.37220339961349963,0.7,1
5,2,167,1,1,0.37860690029338,0.7,0
5,2,168,6,6,0.47284550005570053,0.7,0
5,2,169,4,4,0.4163978003896773,0.7,0
5,2,170,1,1,0.4457004998810589,0.7,0
5,2,171,2,,,0.7,
5,2,172,1,1,0.41585970036685466,0.7,0
5,2,173,3,3,0.39512019995599984,0.7,0
5,2,174,6,6,0.4161831999197602,0.7,0
5,2,175,4,4,0.35372710013762115,0.7,0
5,2,176,6,6,0.5046236000023783,0.7,0
5,2,177,1,2,0.43745899964123963,0.7,1
5,2,178,4,,,0.7,
5,2,179,1,1,0.38116770023480057,0.7,0
5,2,180,2,2,0.43606110028922557,0.7,0
5,2,181,5,,,0.7,
5,2,182,3,,,0.7,
5,2,183,4,3,0.4545211998745799,0.7,1
5,2,184,1,1,0.35904409987851976,0.7,0
5,2,185,2,2,0.4128360000438988,0.7,0
5,2,186,1,,,0.7,
5,2,187,2,2,0.44380630012601613,0.7,0
5,2,188,6,6,0.40779580008238553,0.7,0
5,2,189,5,5,0.33838089993223547,0.7,0
5,2,190,3,3,0.4701437002047896,0.7,0
5,2,191,2,2,0.34358919989317654,0.7,0
5,2,192,4,4,0.36543079996481537,0.7,0
5,2,193,2,2,0.39530339995399116,0.7,0
5,2,194,6,6,0.323299700114876,0.7,0
5,2,195,5,4,0.5045265999622643,0.7,1
5,2,196,3,2,0.367807300016284,0.7,1
5,2,197,4,5,0.49753400003537535,0.7,1
5,2,198,6,,,0.7,
5,2,199,4,4,0.381090799998492,0.7,0
5,2,200,3,3,0.3252102999947965,0.7,0
5,2,201,4,5,0.44878199994564055,0.7,1
5,2,202,5,,,0.7,
5,2,203,3,,,0.7,
5,2,204,4,,,0.7,
5,2,205,1,,,0.7,
5,2,206,5,4,0.43405130011960863,0.7,1
5,2,207,3,3,0.4917605996131897,0.7,0
5,2,208,2,2,0.2904251000843942,0.7,0
5,2,209,4,5,0.3714885997585952,0.7,1
5,2,210,5,6,0.3723533001728356,0.7,1
5,2,211,4,,,0.7,
5,2,212,3,3,0.3392188001424074,0.7,0
5,2,213,4,,,0.7,
5,2,214,1,1,0.38523220010101794,0.7,0
5,2,215,5,,,0.7,
5,2,216,3,3,0.4082907998934388,0.7,0
