id,age,gender,mothertongue,handedness,vision,vision_impairment,field_of_study,material,stim_duration,isi,block,n_prime,prime1,prime2,prime3,target,prime5,probe,probe_type,probe_response,correct_response,correct,rt
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,028.bmp,018.bmp,069.bmp,donut_9.bmp,040.bmp,donut_1.bmp,lure,l,l,1,804
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,058.bmp,116.bmp,031.bmp,microscope_2.bmp,128.bmp,microscope_10.bmp,lure,l,l,1,978
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,016.bmp,089.bmp,085.bmp,coffee_7.bmp,103.bmp,coffee_7.bmp,target,a,a,1,1832
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,051.bmp,065.bmp,keyboard_12.bmp,059.bmp,keyboard_1.bmp,lure,l,l,1,1345
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,060.bmp,cupsaucer_3.bmp,112.bmp,ball_1.bmp,new,l,l,1,1589
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,015.bmp,069.bmp,easteregg_2.bmp,105.bmp,easteregg_13.bmp,lure,l,l,1,1127
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,041.bmp,052.bmp,tablesmall_7.bmp,109.bmp,tablesmall_7.bmp,target,a,a,1,925
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,094.bmp,033.bmp,bearteddy_11.bmp,088.bmp,barbie_15.bmp,new,l,l,1,668
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,045.bmp,rusdoll_4.bmp,046.bmp,rusdoll_10.bmp,lure,l,l,1,1300
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,114.bmp,085.bmp,079.bmp,cookingpan_10.bmp,021.bmp,cookingpan_10.bmp,target,a,a,1,1407
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,015.bmp,066.bmp,088.bmp,keychain_13.bmp,123.bmp,keychain_13.bmp,target,a,a,1,1055
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,006.bmp,115.bmp,046.bmp,circutboard_10.bmp,113.bmp,robot_4.bmp,new,l,l,1,1005
42,22,female,german,right,ok,,biologie,brady,750,0,1,4,,101.bmp,023.bmp,lock_8.bmp,086.bmp,lock_8.bmp,target,a,a,1,978
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,127.bmp,023.bmp,109.bmp,handgun_12.bmp,058.bmp,sodacan_13.bmp,new,l,l,1,734
42,22,female,german,right,ok,,biologie,brady,750,0,1,3,,,035.bmp,tennisracquet_6.bmp,020.bmp,coatrack_6.bmp,new,l,l,1,1193
42,22,female,german,right,ok,,biologie,brady,750,0,1,5,101.bmp,128.bmp,058.bmp,knife_4.bmp,001.bmp,knife_2.bmp,lure,l,l,1,1842
