subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,sicher1,sicher2,sicher3,sicher4,sicher5,sicher6,crit1,crit2,crit3,VF_pos,VF_neg
82,5,5,ec,1,negative,B   O   R   F,maske_1.bmp,maske_2.bmp,9432.bmp,0.078,no,yes,no,no,no,no,no,no,yes,yes,no
82,5,6,ec_control,1,negative,T   E   H   V,maske_2.bmp,maske_1.bmp,6020.bmp,0.5,no,no,no,no,no,yes,no,no,yes,no,yes
82,5,7,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,9007.bmp,0.5,no,no,no,no,no,yes,no,no,yes,no,yes
82,5,8,ec,7,positive,D   W   A   P,maske_1.bmp,maske_2.bmp,8501.bmp,0.078,no,yes,no,no,no,no,no,no,yes,no,yes
82,5,9,ec,4,positive,S   W   A   D,maske_1.bmp,maske_2.bmp,7470.bmp,0.078,no,yes,no,no,no,no,no,no,yes,yes,no
82,5,10,ec,7,negative,F   R   O   B,maske_2.bmp,maske_1.bmp,8485.bmp,0.078,no,yes,no,no,no,no,no,no,yes,no,yes
82,5,11,ec,6,positive,S   N   A   D,maske_2.bmp,maske_1.bmp,5994.bmp,0.078,no,no,yes,no,no,no,no,no,yes,yes,no
82,5,12,ec,8,positive,S   P   A   W,maske_1.bmp,maske_2.bmp,2160.bmp,0.078,no,yes,no,no,no,no,no,no,yes,yes,no
82,5,13,ec,5,negative,J   O   R   F,maske_2.bmp,maske_1.bmp,2900.bmp,0.078,no,no,no,yes,no,no,no,no,yes,no,yes
82,5,14,ec,2,negative,B   O   L   F,maske_1.bmp,maske_2.bmp,9404.bmp,0.078,no,no,no,yes,no,no,no,no,yes,no,yes
82,5,15,ec,3,positive,W   A   N   S,maske_2.bmp,maske_1.bmp,7230.bmp,0.078,no,no,no,yes,no,no,no,no,yes,yes,no
82,5,16,ec,5,positive,P   A   N   D,maske_2.bmp,maske_1.bmp,1999.bmp,0.078,no,no,yes,no,no,no,no,no,yes,no,yes
82,5,17,ec,6,negative,B   R   O   F,maske_1.bmp,maske_2.bmp,6242.bmp,0.078,no,no,yes,no,no,no,no,no,yes,no,yes
82,5,18,ec_control,2,positive,K   I   G   M,maske_1.bmp,maske_2.bmp,4606.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
82,5,19,ec,1,positive,P   A   N   S,maske_2.bmp,maske_1.bmp,7580.bmp,0.078,no,no,yes,no,no,no,no,no,yes,no,yes
82,5,20,ec,3,negative,L   O   B   F,maske_1.bmp,maske_2.bmp,9220.bmp,0.078,no,no,no,yes,no,no,no,no,yes,no,yes
82,6,1,ec,1,positive,P   A   N   S,maske_1.bmp,maske_2.bmp,4220.bmp,0.078,no,no,yes,no,no,no,no,no,yes,no,yes
82,6,2,ec,2,negative,B   O   L   F,maske_2.bmp,maske_1.bmp,3160.bmp,0.078,no,no,no,yes,no,no,no,no,yes,no,yes
82,6,3,ec,3,positive,W   A   N   S,maske_1.bmp,maske_2.bmp,7350.bmp,0.078,no,no,yes,no,no,no,no,no,yes,no,yes
82,6,4,ec,7,negative,F   R   O   B,maske_1.bmp,maske_2.bmp,2141.bmp,0.078,no,no,no,yes,no,no,no,no,yes,no,yes
82,6,5,ec,5,negative,J   O   R   F,maske_1.bmp,maske_2.bmp,6838.bmp,0.078,no,no,no,yes,no,no,no,no,yes,no,yes
82,6,6,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,9182.bmp,0.5,no,no,no,no,no,yes,no,no,yes,no,yes
82,6,7,ec,4,positive,S   W   A   D,maske_2.bmp,maske_1.bmp,2150.bmp,0.078,no,no,no,yes,no,no,no,no,yes,yes,no
82,6,8,ec,6,negative,B   R   O   F,maske_2.bmp,maske_1.bmp,9630.bmp,0.078,no,no,no,yes,no,no,no,no,yes,no,yes
82,6,9,ec,4,negative,L   O   R   B,maske_1.bmp,maske_2.bmp,9430.bmp,0.078,no,no,no,yes,no,no,no,no,yes,no,yes
82,6,10,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,5460.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
82,6,11,ec,8,positive,S   P   A   W,maske_2.bmp,maske_1.bmp,2340.bmp,0.078,no,no,no,no,yes,no,no,no,yes,yes,no
82,6,12,ec,8,negative,J   O   R   B,maske_1.bmp,maske_2.bmp,2710.bmp,0.078,no,no,no,yes,no,no,no,no,yes,no,yes
82,6,13,ec,6,positive,S   N   A   D,maske_1.bmp,maske_2.bmp,2058.bmp,0.078,no,no,no,yes,no,no,no,no,yes,yes,no
82,6,14,ec,3,negative,L   O   B   F,maske_2.bmp,maske_1.bmp,9830.bmp,0.078,no,no,no,yes,no,no,no,no,yes,no,yes
82,6,15,ec,1,negative,B   O   R   F,maske_2.bmp,maske_1.bmp,9400.bmp,0.078,no,no,no,yes,no,no,no,no,yes,no,yes
82,6,16,ec_control,1,positive,G   M   U   X,maske_1.bmp,maske_2.bmp,2050.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
82,6,17,ec,7,positive,D   W   A   P,maske_2.bmp,maske_1.bmp,5831.bmp,0.078,no,no,no,yes,no,no,no,no,yes,yes,no
82,6,18,ec,5,positive,P   A   N   D,maske_1.bmp,maske_2.bmp,2209.bmp,0.078,no,no,yes,no,no,no,no,no,yes,yes,no
82,6,19,ec_control,2,negative,H   Y   V   Z,maske_2.bmp,maske_1.bmp,9520.bmp,0.5,no,no,no,no,no,yes,no,no,yes,no,yes
82,6,20,ec,2,positive,S   N   A   W,maske_1.bmp,maske_2.bmp,2660.bmp,0.078,no,no,no,yes,no,no,no,no,yes,yes,no
82,7,1,ec,5,negative,J   O   R   F,maske_1.bmp,maske_2.bmp,9102.bmp,0.076,no,yes,no,no,no,no,no,no,yes,no,yes
82,7,2,ec,3,negative,L   O   B   F,maske_2.bmp,maske_1.bmp,7380.bmp,0.076,no,yes,no,no,no,no,no,no,yes,no,yes
82,7,3,ec,5,positive,P   A   N   D,maske_1.bmp,maske_2.bmp,2791.bmp,0.076,no,yes,no,no,no,no,no,no,yes,no,yes
82,7,4,ec,1,positive,P   A   N   S,maske_1.bmp,maske_2.bmp,5594.bmp,0.076,no,no,no,yes,no,no,no,no,yes,no,yes
82,7,5,ec_control,1,negative,T   E   H   V,maske_2.bmp,maske_1.bmp,9331.bmp,0.5,no,no,no,no,no,yes,no,no,yes,no,yes
82,7,6,ec,7,negative,F   R   O   B,maske_2.bmp,maske_1.bmp,9435.bmp,0.076,no,yes,no,no,no,no,no,no,yes,no,yes
82,7,7,ec_control,1,positive,G   M   U   X,maske_1.bmp,maske_2.bmp,1650.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
82,7,8,ec,3,positive,W   A   N   S,maske_1.bmp,maske_2.bmp,5830.bmp,0.076,no,yes,no,no,no,no,no,no,yes,yes,no
82,7,9,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,9920.bmp,0.5,no,no,no,no,no,yes,no,no,yes,no,yes
82,7,10,ec,4,positive,S   W   A   D,maske_1.bmp,maske_2.bmp,8080.bmp,0.076,no,yes,no,no,no,no,no,no,yes,yes,no
82,7,11,ec,6,negative,B   R   O   F,maske_1.bmp,maske_2.bmp,2375.1.bmp,0.076,no,yes,no,no,no,no,no,no,yes,no,yes
82,7,12,ec,8,negative,J   O   R   B,maske_2.bmp,maske_1.bmp,9180.bmp,0.076,no,yes,no,no,no,no,no,no,yes,no,yes
82,7,13,ec,6,positive,S   N   A   D,maske_1.bmp,maske_2.bmp,2080.bmp,0.076,no,yes,no,no,no,no,no,no,yes,yes,no
82,7,14,ec,7,positive,D   W   A   P,maske_1.bmp,maske_2.bmp,2071.bmp,0.076,no,yes,no,no,no,no,no,no,yes,yes,no
82,7,15,ec,8,positive,S   P   A   W,maske_2.bmp,maske_1.bmp,1710.bmp,0.076,no,yes,no,no,no,no,no,no,yes,yes,no
82,7,16,ec,4,negative,L   O   R   B,maske_2.bmp,maske_1.bmp,9265.bmp,0.076,no,yes,no,no,no,no,no,no,yes,no,yes
82,7,17,ec,1,negative,B   O   R   F,maske_1.bmp,maske_2.bmp,6831.bmp,0.076,no,yes,no,no,no,no,no,no,yes,no,yes
82,7,18,ec,2,negative,B   O   L   F,maske_2.bmp,maske_1.bmp,9340.bmp,0.076,no,no,no,yes,no,no,no,no,yes,no,yes
82,7,19,ec_control,2,positive,K   I   G   M,maske_1.bmp,maske_2.bmp,7330.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
82,7,20,ec,2,positive,S   N   A   W,maske_1.bmp,maske_2.bmp,5629.bmp,0.076,no,yes,no,no,no,no,no,no,yes,yes,no
82,8,1,ec,8,positive,S   P   A   W,maske_1.bmp,maske_2.bmp,2550.bmp,0.078,no,yes,no,no,no,no,no,no,yes,yes,no
82,8,2,ec,3,negative,L   O   B   F,maske_1.bmp,maske_2.bmp,3220.bmp,0.078,no,no,no,yes,no,no,no,no,yes,no,yes
82,8,3,ec,7,positive,D   W   A   P,maske_2.bmp,maske_1.bmp,8330.bmp,0.078,no,no,yes,no,no,no,no,no,yes,yes,no
82,8,4,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,2311.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
82,8,5,ec,1,negative,B   O   R   F,maske_2.bmp,maske_1.bmp,9000.bmp,0.078,no,yes,no,no,no,no,no,no,yes,no,yes
82,8,6,ec,6,positive,S   N   A   D,maske_2.bmp,maske_1.bmp,8496.bmp,0.078,no,yes,no,no,no,no,no,no,yes,yes,no
82,8,7,ec,4,negative,L   O   R   B,maske_1.bmp,maske_2.bmp,3550.bmp,0.078,no,no,no,yes,no,no,no,no,yes,no,yes
82,8,8,ec,1,positive,P   A   N   S,maske_2.bmp,maske_1.bmp,5910.bmp,0.078,no,yes,no,no,no,no,no,no,yes,yes,no
82,8,9,ec,8,negative,J   O   R   B,maske_1.bmp,maske_2.bmp,9342.bmp,0.078,no,no,no,yes,no,no,no,no,yes,no,yes
82,8,10,ec,4,positive,S   W   A   D,maske_2.bmp,maske_1.bmp,8200.bmp,0.078,no,yes,no,no,no,no,no,no,yes,yes,no
82,8,11,ec,5,positive,P   A   N   D,maske_2.bmp,maske_1.bmp,8190.bmp,0.078,no,no,yes,no,no,no,no,no,yes,yes,no
82,8,12,ec_control,1,positive,G   M   U   X,maske_2.bmp,maske_1.bmp,2040.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
82,8,13,ec,7,negative,F   R   O   B,maske_1.bmp,maske_2.bmp,2053.bmp,0.078,no,yes,no,no,no,no,no,no,yes,no,yes
82,8,14,ec,2,positive,S   N   A   W,maske_2.bmp,maske_1.bmp,8420.bmp,0.078,no,yes,no,no,no,no,no,no,yes,yes,no
82,8,15,ec,3,positive,W   A   N   S,maske_2.bmp,maske_1.bmp,2057.bmp,0.078,no,yes,no,no,no,no,no,no,yes,yes,no
82,8,16,ec,5,negative,J   O   R   F,maske_2.bmp,maske_1.bmp,9421.bmp,0.078,no,no,no,yes,no,no,no,no,yes,no,yes
82,8,17,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,9050.bmp,0.5,no,no,no,no,no,yes,no,no,yes,no,yes
82,8,18,ec,2,negative,B   O   L   F,maske_1.bmp,maske_2.bmp,9500.bmp,0.078,no,no,no,yes,no,no,no,no,yes,no,yes
82,8,19,ec_control,2,negative,H   Y   V   Z,maske_2.bmp,maske_1.bmp,9280.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
82,8,20,ec,6,negative,B   R   O   F,maske_2.bmp,maske_1.bmp,6570.1.bmp,0.078,no,no,no,yes,no,no,no,no,yes,no,yes
82,9,1,ec,4,negative,L   O   R   B,maske_1.bmp,maske_2.bmp,9330.bmp,0.078,no,yes,no,no,no,no,no,no,yes,no,yes
82,9,2,ec,6,negative,B   R   O   F,maske_2.bmp,maske_1.bmp,6020.bmp,0.078,no,yes,no,no,no,no,no,no,yes,no,yes
82,9,3,ec,1,negative,B   O   R   F,maske_1.bmp,maske_2.bmp,9560.bmp,0.078,no,yes,no,no,no,no,no,no,yes,no,yes
