subjnr;blocknr;trialnr;adaptation_target;us_valence;cs_filename;premask_filename;postmask_filename;us_filename;cs_duration;direction_pretrial; direction; reversals_for_calc; reversals_total; stepsize; pas_rating;VF_pos;VF_neg
52;3;4;2.5;negative;B   O   R   F;maske_1.bmp;maske_2.bmp;Angry face 5.jpg;0.019999999999999962;-1;1;14;30;0.001;4;no;yes
52;3;5;5.0;negative;N   U   G   Z;maske_2.bmp;maske_1.bmp;Scared face 4.jpg;0.07899999999999996;-1;-1;17;27;0.001;6;no;yes
52;3;6;5.0;positive;K   L   E   M;maske_1.bmp;maske_2.bmp;Couple 8.jpg;0.07799999999999996;-1;-1;17;27;0.001;5;yes;no
52;3;7;5.0;positive;K   E   L   M;maske_1.bmp;maske_2.bmp;Guitar 1.jpg;0.07799999999999996;-1;-1;17;27;0.001;6;yes;no
52;3;8;2.5;negative;F   O   R   B;maske_2.bmp;maske_1.bmp;Sad face 9.jpg;0.020999999999999963;1;1;14;30;0.001;1;no;yes
52;3;9;5.0;positive;H   E   M   K;maske_1.bmp;maske_2.bmp;Baby 2.jpg;0.07699999999999996;-1;1;18;28;0.001;4;yes;no
52;3;10;5.0;negative;Z   U   N   T;maske_2.bmp;maske_1.bmp;Miserable pose 4.jpg;0.07799999999999996;1;1;18;28;0.001;5;no;yes
52;3;11;2.5;positive;W   A   P   S;maske_1.bmp;maske_2.bmp;Sunflower 1.jpg;0.021999999999999964;1;-1;15;31;0.001;3;yes;no
52;3;12;2.5;negative;B   J   O   F;maske_2.bmp;maske_1.bmp;Explosion 6.jpg;0.020999999999999963;-1;-1;15;31;0.001;3;no;yes
52;3;13;5.0;negative;T   U   N   G;maske_1.bmp;maske_2.bmp;Pollution 1.jpg;0.07799999999999996;1;1;18;28;0.001;5;no;yes
52;3;14;2.5;positive;S   A   P   V;maske_1.bmp;maske_2.bmp;Bird 3.jpg;0.019999999999999962;-1;1;16;32;0.001;3;yes;no
52;3;15;5.0;positive;L   E   M   K;maske_2.bmp;maske_1.bmp;Dog 2.jpg;0.07799999999999996;1;1;18;28;0.001;5;yes;no
52;3;16;2.5;negative;J   O   R   F;maske_1.bmp;maske_2.bmp;Depressed pose 3.jpg;0.020999999999999963;1;-1;17;33;0.001;4;no;yes
52;3;17;5.0;positive;H   E   L   K;maske_1.bmp;maske_2.bmp;Beach 6.jpg;0.07799999999999996;1;1;18;28;0.001;3;yes;no
52;3;18;2.5;positive;S   V   A   W;maske_1.bmp;maske_2.bmp;Happy pose 2.jpg;0.019999999999999962;-1;1;18;34;0.001;2;yes;no
