ParticipantNumber	SpaceYesNo	IsTarget	LeftOrder	RightOrder	timeStamp	TrialNr	Interval
72	0	1	l_tol_7.wav	neu_r_61.wav	2015-06-18_10.30.24.350000	192	1
72	0	0	l_lup_8.wav	pos_r_6.wav	2015-06-18_10.30.24.350000	193	0
72	0	0	l_nif_11.wav	neu_r_20.wav	2015-06-18_10.30.24.350000	194	0
72	0	0	neu_l_19.wav	pos_r_3.wav	2015-06-18_10.30.24.350000	195	1
72	0	0	neu_l_54.wav	neu_r_22.wav	2015-06-18_10.30.24.350000	196	0
72	0	0	neu_l_10.wav	neg_r_58.wav	2015-06-18_10.30.24.350000	197	1
72	0	0	neu_l_14.wav	neu_r_64.wav	2015-06-18_10.30.24.350000	198	0
72	0	1	l_tol_14.wav	neu_r_28.wav	2015-06-18_10.30.24.350000	199	1
72	0	0	l_lup_10.wav	neg_r_67.wav	2015-06-18_10.30.24.350000	200	0
72	0	0	l_nif_9.wav	neu_r_24.wav	2015-06-18_10.30.24.350000	201	0
72	0	1	neu_l_75.wav	r_tol_4.wav	2015-06-18_10.30.24.350000	202	1
72	1	0	neu_l_71.wav	neg_r_28.wav	2015-06-18_10.30.24.350000	203	0
72	0	0	neu_l_68.wav	neu_r_1.wav	2015-06-18_10.30.24.350000	204	0
72	0	1	l_tol_7.wav	neu_r_67.wav	2015-06-18_10.30.24.350000	205	1
72	0	0	l_lup_8.wav	pos_r_74.wav	2015-06-18_10.30.24.350000	206	0
72	0	0	l_nif_11.wav	neu_r_20.wav	2015-06-18_10.30.24.350000	207	0
72	0	1	l_tol_14.wav	neu_r_65.wav	2015-06-18_10.30.24.350000	208	1
72	0	0	l_lup_10.wav	neg_r_55.wav	2015-06-18_10.30.24.350000	209	0
72	0	0	l_nif_9.wav	neu_r_64.wav	2015-06-18_10.30.24.350000	210	0
72	0	1	l_tol_9.wav	neu_r_28.wav	2015-06-18_10.30.24.350000	211	1
72	0	0	l_lup_4.wav	neg_r_25.wav	2015-06-18_10.30.24.350000	212	0
72	0	0	l_nif_6.wav	neu_r_76.wav	2015-06-18_10.30.24.350000	213	0
72	0	0	neu_l_52.wav	pos_r_13.wav	2015-06-18_10.30.24.350000	214	1
72	0	0	neu_l_12.wav	neu_r_64.wav	2015-06-18_10.30.24.350000	215	0
72	0	1	neu_l_35.wav	r_tol_4.wav	2015-06-18_10.30.24.350000	216	1
72	1	0	neu_l_63.wav	neg_r_12.wav	2015-06-18_10.30.24.350000	217	0
72	0	0	neu_l_73.wav	neu_r_55.wav	2015-06-18_10.30.24.350000	218	0
72	0	1	neu_l_54.wav	r_tol_19.wav	2015-06-18_10.30.24.350000	219	1
72	1	0	neu_l_74.wav	pos_r_54.wav	2015-06-18_10.30.24.350000	220	0
72	0	0	neu_l_15.wav	neu_r_80.wav	2015-06-18_10.30.24.350000	221	0
72	0	1	neu_l_75.wav	r_tol_4.wav	2015-06-18_10.30.24.350000	222	1
72	1	0	neu_l_74.wav	neg_r_45.wav	2015-06-18_10.30.24.350000	223	0
72	0	0	neu_l_12.wav	neu_r_41.wav	2015-06-18_10.30.24.350000	224	0
72	0	0	neu_l_44.wav	pos_r_40.wav	2015-06-18_10.30.24.350000	225	1
72	0	0	neu_l_77.wav	neu_r_65.wav	2015-06-18_10.30.24.350000	226	0
72	0	1	neu_l_26.wav	r_tol_5.wav	2015-06-18_10.30.24.350000	227	1
72	1	0	neu_l_44.wav	neg_r_54.wav	2015-06-18_10.30.24.350000	228	0
72	0	0	neu_l_68.wav	neu_r_67.wav	2015-06-18_10.30.24.350000	229	0
72	0	1	neu_l_15.wav	r_tol_12.wav	2015-06-18_10.30.24.350000	230	1
72	1	0	neu_l_66.wav	pos_r_24.wav	2015-06-18_10.30.24.350000	231	0
72	0	0	neu_l_4.wav	neu_r_38.wav	2015-06-18_10.30.24.350000	232	0
72	0	1	neu_l_30.wav	r_tol_19.wav	2015-06-18_10.30.24.350000	233	1
72	1	0	neu_l_60.wav	pos_r_4.wav	2015-06-18_10.30.24.350000	234	0
72	0	0	neu_l_70.wav	neu_r_76.wav	2015-06-18_10.30.24.350000	235	0
72	0	1	neu_l_30.wav	r_tol_19.wav	2015-06-18_10.30.24.350000	236	1
72	1	0	neu_l_56.wav	pos_r_40.wav	2015-06-18_10.30.24.350000	237	0
72	0	0	neu_l_56.wav	neu_r_28.wav	2015-06-18_10.30.24.350000	238	0
72	0	1	neu_l_70.wav	r_tol_1.wav	2015-06-18_10.30.24.350000	239	1
72	1	0	neu_l_54.wav	neg_r_19.wav	2015-06-18_10.30.24.350000	240	0
72	0	0	neu_l_5.wav	neu_r_39.wav	2015-06-18_10.30.24.350000	241	0
72	0	1	neu_l_58.wav	r_tol_3.wav	2015-06-18_10.30.24.350000	242	1
72	1	0	neu_l_73.wav	pos_r_52.wav	2015-06-18_10.30.24.350000	243	0
72	0	0	neu_l_16.wav	neu_r_55.wav	2015-06-18_10.30.24.350000	244	0
72	0	1	neu_l_13.wav	r_tol_4.wav	2015-06-18_10.30.24.350000	245	1
72	1	0	neu_l_14.wav	neg_r_51.wav	2015-06-18_10.30.24.350000	246	0
72	0	0	neu_l_34.wav	neu_r_65.wav	2015-06-18_10.30.24.350000	247	0
72	0	1	neu_l_51.wav	r_tol_10.wav	2015-06-18_10.30.24.350000	248	1
72	1	0	neu_l_73.wav	neg_r_10.wav	2015-06-18_10.30.24.350000	249	0
72	0	0	neu_l_43.wav	neu_r_55.wav	2015-06-18_10.30.24.350000	250	0
72	0	0	neu_l_31.wav	pos_r_68.wav	2015-06-18_10.30.24.350000	251	1
72	0	0	neu_l_13.wav	neu_r_47.wav	2015-06-18_10.30.24.350000	252	0
72	0	1	neu_l_26.wav	r_tol_15.wav	2015-06-18_10.30.24.350000	253	1
72	1	0	neu_l_62.wav	pos_r_36.wav	2015-06-18_10.30.24.350000	254	0
72	0	0	neu_l_66.wav	neu_r_37.wav	2015-06-18_10.30.24.350000	255	0
72	0	1	neu_l_36.wav	r_tol_5.wav	2015-06-18_10.30.24.350000	256	1
72	1	0	neu_l_69.wav	neg_r_59.wav	2015-06-18_10.30.24.350000	257	0
72	0	0	neu_l_43.wav	neu_r_79.wav	2015-06-18_10.30.24.350000	258	0
72	0	1	neu_l_53.wav	r_tol_12.wav	2015-06-18_10.30.24.350000	259	1
72	1	0	neu_l_46.wav	pos_r_37.wav	2015-06-18_10.30.24.350000	260	0
72	0	0	neu_l_45.wav	neu_r_2.wav	2015-06-18_10.30.24.350000	261	0
72	0	1	neu_l_48.wav	r_tol_15.wav	2015-06-18_10.30.24.350000	262	1
72	1	0	neu_l_75.wav	pos_r_26.wav	2015-06-18_10.30.24.350000	263	0
72	0	0	neu_l_62.wav	neu_r_64.wav	2015-06-18_10.30.24.350000	264	0
72	0	1	l_tol_14.wav	neu_r_41.wav	2015-06-18_10.30.24.350000	265	1
72	0	0	l_lup_10.wav	neg_r_35.wav	2015-06-18_10.30.24.350000	266	0
72	0	0	l_nif_9.wav	neu_r_76.wav	2015-06-18_10.30.24.350000	267	0
72	0	0	neu_l_57.wav	pos_r_43.wav	2015-06-18_10.30.24.350000	268	1
