phase,subject_nr,block,trial,cond_order,repetition,valence,stim1,stim2,expectancy,mensch_rating,tier_rating,gegenstand_rating,leertaste
trials,276,3,83,1,9,negative,acquisition,8.png,9331.JPG,0,None,None,None,None
trials,276,3,84,1,8,positive,extinction,18.png,empty.png,0,None,None,None,None
trials,276,3,85,1,10,positive,extinction,10.png,empty.png,1,0,0,0,None
trials,276,3,86,1,10,positive,acquisition,14.png,1604.JPG,0,None,None,None,None
trials,276,3,87,1,10,positive,acquisition,21.png,1500.JPG,0,None,None,None,None
trials,276,3,88,1,10,neutral,extinction,11.png,empty.png,1,0,0,0,None
trials,276,3,89,1,NA,NA,NA,5250.JPG,empty.png,0,None,None,None,None
trials,276,3,90,1,9,negative,extinction,20.png,empty.png,0,None,None,None,None
trials,276,3,91,1,NA,NA,NA,5660.JPG,5611.JPG,0,None,None,None,None
trials,276,3,92,1,NA,NA,NA,5870.JPG,9000.JPG,0,None,None,None,None
trials,276,3,93,1,NA,NA,NA,5660.JPG,5611.JPG,0,None,None,None,None
trials,276,3,94,1,9,negative,extinction,5.png,empty.png,0,None,None,None,None
trials,276,3,95,1,9,positive,acquisition,24.png,1540.JPG,0,None,None,None,None
trials,276,3,96,1,10,negative,acquisition,3.png,2141.JPG,0,None,None,None,None
trials,276,3,97,1,10,positive,acquisition,24.png,1540.JPG,1,0,10,0,None
trials,276,3,98,1,10,neutral,extinction,12.png,empty.png,0,None,None,None,None
trials,276,3,99,1,NA,NA,NA,5780.JPG,empty.png,0,None,None,None,None
trials,276,3,100,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,3,101,1,10,negative,extinction,5.png,empty.png,0,None,None,None,None
trials,276,3,102,1,10,negative,acquisition,8.png,9331.JPG,0,None,None,None,None
trials,276,3,103,1,NA,NA,NA,empty.png,16.png,0,None,None,None,None
trials,276,3,104,1,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,276,3,105,1,NA,NA,NA,27.png,2.png,0,None,None,None,None
trials,276,3,106,1,9,positive,extinction,18.png,empty.png,0,None,None,None,None
trials,276,3,107,1,NA,NA,NA,13.png,empty.png,0,None,None,None,None
trials,276,3,108,1,10,negative,extinction,20.png,empty.png,0,None,None,None,None
trials,276,3,109,1,10,neutral,acquisition,17.png,7009.JPG,0,None,None,None,None
