experiment	subject	block	trial	order	material	repeated	related	probetype	response	correct	rt	math_response	math_correctresponse	math_correct	math_rt	confidence	confidence_rt	probe	item1	item2	item3	item4	item5	item6	age	sex	handedness	color_vision	mother_tongue	occupation
FAUST_1[2014-06]	37	3	11	2	2	2	2	2	1	0	3435	2	1	0	1420	1	1963	Chilli11.bmp	Chilli22.bmp	Chilli14.bmp	Chilli19.bmp	Chilli22.bmp	Strawberry3.bmp	Chilli12.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	3	18	2	2	1	1	2	2	1	3311	2	2	1	1278	4	1783	Varnish17.bmp	Jigsaw11.bmp	Jigsaw14.bmp	Jigsaw10.bmp	Varnish14.bmp	Jigsaw14.bmp	Jigsaw17.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	3	8	2	2	2	1	2	1	0	3294	2	2	1	2262	3	3710	Brocolli10.bmp	Candle20.bmp	Candle17.bmp	Brocolli9.bmp	Candle13.bmp	Candle10.bmp	Brocolli9.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	3	5	2	2	1	2	2	1	0	1145	2	2	1	1468	4	1760	Glass12.bmp	Hand17.bmp	Glass4.bmp	Glass3.bmp	Hand17.bmp	Glass16.bmp	Glass19.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	3	16	2	2	2	2	2	1	0	2751	1	2	0	2070	2	3164	Star1.bmp	Star7.bmp	Star17.bmp	Pen10.bmp	Star2.bmp	Star17.bmp	Star19.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	3	1	2	2	1	1	3	2	1	3045	2	2	1	2979	4	1861	Toothbrush12.bmp	Fork14.bmp	Fork8.bmp	Fork7.bmp	Fork8.bmp	Scissors14.bmp	Fork9.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	3	6	2	2	2	1	3	2	1	1351	2	2	1	1861	4	1702	String6.bmp	Umbrella7.bmp	Bun12.bmp	Bun17.bmp	Bun19.bmp	Umbrella7.bmp	Bun22.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	3	3	2	2	1	1	3	2	1	1962	1	1	1	2267	4	1741	Lipstick9.bmp	Car12.bmp	Stapler7.bmp	Stapler9.bmp	Stapler6.bmp	Stapler8.bmp	Stapler7.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	3	21	2	2	2	1	3	2	1	1363	1	1	1	3061	4	1647	Keys5.bmp	Man10.bmp	Man4.bmp	Biscuit4.bmp	Man24.bmp	Biscuit4.bmp	Man15.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	3	14	2	2	1	1	3	2	1	1097	2	2	1	1561	4	1425	Feather18.bmp	Nut21.bmp	Nut19.bmp	Nut18.bmp	Nut11.bmp	Nut21.bmp	Button3.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	3	9	2	2	2	1	3	2	1	1111	2	2	1	1427	4	2121	Holly17.bmp	Paperclip13.bmp	Chocolate9.bmp	Chocolate17.bmp	Chocolate6.bmp	Paperclip13.bmp	Chocolate5.bmp	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	22	2	1	1	1	1	2	0	4223	2	2	1	1840	2	1563	HAND	biologie	physik	biologie	hand	chemie	mathematik	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	25	2	1	2	1	1	1	1	2958	2	2	1	819	3	3111	SCHNEE	elbe	rhein	schnee	main	schnee	donau	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	19	2	1	1	2	1	2	0	3491	2	1	0	1647	3	1434	PIZZA	hamburger	helium	bratwurst	pommes	pizza	helium	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	7	2	1	2	2	1	1	1	1364	2	2	1	751	4	1462	STUHL	stuhl	vater	tisch	schrank	stuhl	regal	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	12	2	1	1	1	1	2	0	1063	1	1	1	1054	4	2230	ÄRGER	lineal	ärger	brieföffner	klebeband	lineal	büroklammer	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	1	2	1	2	1	1	1	1	1109	1	1	1	760	4	1728	SCHEUNE	scheune	meißel	zange	bohrer	scheune	hammer	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	2	2	1	1	2	1	1	1	4592	1	1	1	1733	1	1645	REALSCHULE	realschule	backgammon	berufsschule	backgammon	hauptschule	gymnasium	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	23	2	1	2	2	1	1	1	1167	1	1	1	795	4	1228	AUDI	mercedes	volvo	audi	backform	audi	porsche	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	6	2	1	1	1	1	1	1	1248	2	2	1	1320	4	3406	LIPPENSTIFT	dänemark	england	schweiz	österreich	dänemark	lippenstift	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	20	2	1	2	1	1	1	1	978	2	2	1	947	4	1782	CENT	tennis	golf	schwimmen	cent	skifahren	cent	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
FAUST_1[2014-06]	37	2	10	2	1	1	2	1	1	1	1148	1	2	0	1220	4	1474	KARAMELL	gummibärchen	merkur	karamell	merkur	lakritz	marzipan	24	1	1	1	1	LEHRAMMTTGESCHICHTEDEUTSCH
