trialnr,blocknr,cs_filename,usval,cs_duration,us_filename,us_duration,premask_filename,premask_duration,postmask_filename,postmask_duration,vis_option_6,vis_option_5,vis_option_4,vis_option_3,vis_option_2,vis_option_1  
212,3,cs8.bmp,neg,100,9611.jpg,1000,maske_4.bmp,500,maske_7.bmp,900,cs12.bmp,cs19.bmp,cs11.bmp,cs30.bmp,cs8.bmp,cs13.bmp
116,3,cs4.bmp,pos,900,2340.JPG,1000,maske_2.bmp,500,maske_7.bmp,100,cs22.bmp,cs26.bmp,cs15.bmp,cs21.bmp,cs20.bmp,cs4.bmp
92,3,cs14.bmp,pos,100,2091.jpg,1000,maske_11.bmp,500,maske_1.bmp,900,cs10.bmp,cs5.bmp,cs14.bmp,cs4.bmp,cs21.bmp,cs26.bmp
254,3,cs1.bmp,neu,30,5740.jpg,1000,maske_1.bmp,500,maske_7.bmp,970,7004.jpg,3550.2.jpg,7640.jpg,5740.jpg,1935.jpg,7090.jpg
98,3,cs28.bmp,pos,900,4626.jpg,1000,maske_3.bmp,500,maske_5.bmp,100,cs28.bmp,cs10.bmp,cs14.bmp,cs23.bmp,cs4.bmp,cs26.bmp
176,3,cs17.bmp,neg,30,9520.JPG,1000,maske_4.bmp,500,maske_3.bmp,970,cs7.bmp,cs27.bmp,cs11.bmp,cs19.bmp,cs12.bmp,cs17.bmp
8,3,cs5.bmp,pos,30,2660.jpg,1000,maske_11.bmp,500,maske_6.bmp,970,cs5.bmp,cs21.bmp,cs23.bmp,cs2.bmp,cs4.bmp,cs28.bmp
2,3,cs23.bmp,pos,30,8461.jpg,1000,maske_12.bmp,500,maske_10.bmp,970,cs20.bmp,cs21.bmp,cs23.bmp,cs14.bmp,cs2.bmp,cs26.bmp
218,3,cs13.bmp,neg,900,9331.jpg,1000,maske_5.bmp,500,maske_7.bmp,100,cs11.bmp,cs8.bmp,cs12.bmp,cs18.bmp,cs17.bmp,cs13.bmp
278,3,cs3.bmp,neu,900,8211.jpg,1000,maske_12.bmp,500,maske_11.bmp,100,8211.jpg,2575.jpg,2487.jpg,2372.jpg,7000.jpg,5455.jpg
104,3,cs28.bmp,pos,900,7330.JPG,1000,maske_3.bmp,500,maske_9.bmp,100,cs23.bmp,cs22.bmp,cs2.bmp,cs4.bmp,cs28.bmp,cs5.bmp
122,3,cs18.bmp,neg,30,2455.jpg,1000,maske_2.bmp,500,maske_8.bmp,970,cs8.bmp,cs18.bmp,cs7.bmp,cs27.bmp,cs6.bmp,cs11.bmp
50,3,cs20.bmp,pos,30,7502.jpg,1000,maske_7.bmp,500,maske_4.bmp,970,cs20.bmp,cs10.bmp,cs15.bmp,cs22.bmp,cs23.bmp,cs14.bmp
134,3,cs6.bmp,neg,30,6311.jpg,1000,maske_5.bmp,500,maske_12.bmp,970,cs19.bmp,cs8.bmp,cs27.bmp,cs25.bmp,cs6.bmp,cs12.bmp
32,3,cs22.bmp,pos,30,1920.JPG,1000,maske_7.bmp,500,maske_2.bmp,970,cs14.bmp,cs22.bmp,cs20.bmp,cs26.bmp,cs15.bmp,cs4.bmp
320,3,cs29.bmp,neu,100,5455.jpg,1000,maske_10.bmp,500,maske_11.bmp,900,1616.jpg,7830.jpg,7080.jpg,5455.jpg,1935.jpg,5740.jpg
164,3,cs25.bmp,neg,30,9342.jpg,1000,maske_2.bmp,500,maske_8.bmp,970,cs17.bmp,cs8.bmp,cs25.bmp,cs6.bmp,cs19.bmp,cs12.bmp
200,3,cs30.bmp,neg,100,9330.jpg,1000,maske_1.bmp,500,maske_4.bmp,900,cs17.bmp,cs6.bmp,cs30.bmp,cs18.bmp,cs19.bmp,cs12.bmp
158,3,cs25.bmp,neg,30,9435.jpg,1000,maske_3.bmp,500,maske_11.bmp,970,cs12.bmp,cs25.bmp,cs6.bmp,cs8.bmp,cs27.bmp,cs19.bmp
68,3,cs15.bmp,pos,30,2395.jpg,1000,maske_7.bmp,500,maske_8.bmp,970,cs14.bmp,cs15.bmp,cs26.bmp,cs22.bmp,cs5.bmp,cs23.bmp
194,3,cs30.bmp,neg,100,9530.JPG,1000,maske_7.bmp,500,maske_4.bmp,900,cs11.bmp,cs25.bmp,cs18.bmp,cs8.bmp,cs12.bmp,cs30.bmp
44,3,cs2.bmp,pos,30,8540.JPG,1000,maske_10.bmp,500,maske_1.bmp,970,cs10.bmp,cs4.bmp,cs15.bmp,cs2.bmp,cs26.bmp,cs22.bmp
