ParticipantNumber	CS	US	Length	TrialNr	maskTurnsPre	maskTurnsPost	Answer	correctAnswer	computerName	timeStamp
39	43.png	p73.wav	153	161	90	0	70b.png	0	methexp32	2017-07-25_15.42.30.982000
39	50.png	neu5.wav	170	162	90	0	50.png	1	methexp32	2017-07-25_15.42.30.982000
39	12b.png	p89.wav	153	163	0	270	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	39b.png	n13.wav	153	164	270	180	14b.png	0	methexp32	2017-07-25_15.42.30.982000
39	81b.png	n13.wav	153	165	0	270	72b.png	0	methexp32	2017-07-25_15.42.30.982000
39	02b.png	p91.wav	153	166	180	0	77b.png	0	methexp32	2017-07-25_15.42.30.982000
39	99.png	n30.wav	153	167	0	180	68b.png	0	methexp32	2017-07-25_15.42.30.982000
39	13b.png	n11.wav	153	168	270	90	70b.png	0	methexp32	2017-07-25_15.42.30.982000
39	20b.png	p23.wav	153	169	90	270	99.png	0	methexp32	2017-07-25_15.42.30.982000
39	77b.png	p36.wav	153	170	180	0	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	67b.png	n30.wav	153	171	270	180	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	12b.png	p53.wav	153	172	90	180	70b.png	0	methexp32	2017-07-25_15.42.30.982000
39	98b.png	n31.wav	153	173	90	180	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	39b.png	n14.wav	153	174	0	180	16b.png	0	methexp32	2017-07-25_15.42.30.982000
39	67b.png	n45.wav	153	175	90	0	39b.png	0	methexp32	2017-07-25_15.42.30.982000
39	50.png	neu1.wav	170	176	180	270	50.png	1	methexp32	2017-07-25_15.42.30.982000
39	99.png	n13.wav	153	177	0	180	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	43.png	p53.wav	153	178	180	0	67b.png	0	methexp32	2017-07-25_15.42.30.982000
39	43.png	p45.wav	153	179	270	0	43.png	1	methexp32	2017-07-25_15.42.30.982000
39	02b.png	p53.wav	153	180	90	180	29.png	0	methexp32	2017-07-25_15.42.30.982000
