phase,subject_nr,block,trial,cond_order,repetition,valence,stim1,stim2,expectancy,mensch_rating,tier_rating,gegenstand_rating,leertaste
trials,66,3,58,2,8,positive,extinction,empty.png,26.png,0,None,None,None,None
trials,66,3,59,2,10,negative,acquisition,2399.JPG,10.png,0,None,None,None,None
trials,66,3,60,2,NA,NA,NA,2.png,22.png,0,None,None,None,None
trials,66,3,61,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,3,62,2,9,positive,acquisition,1721.JPG,1.png,0,None,None,None,None
trials,66,3,63,2,8,negative,extinction,empty.png,18.png,0,None,None,None,None
trials,66,3,64,2,10,neutral,extinction,empty.png,7.png,1,0,0,0,None
trials,66,3,65,2,9,negative,extinction,empty.png,18.png,0,None,None,None,None
trials,66,3,66,2,9,positive,acquisition,1750.JPG,20.png,0,None,None,None,None
trials,66,3,67,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,3,68,2,9,positive,extinction,empty.png,26.png,0,None,None,None,None
trials,66,3,69,2,9,positive,extinction,empty.png,5.png,0,None,None,None,None
trials,66,3,70,2,9,neutral,extinction,empty.png,4.png,0,None,None,None,None
trials,66,3,71,2,10,negative,extinction,empty.png,18.png,0,None,None,None,None
trials,66,3,72,2,NA,NA,NA,9280.JPG,5660.JPG,0,None,None,None,None
trials,66,3,73,2,NA,NA,NA,5611.JPG,empty.png,0,None,None,None,None
trials,66,3,74,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,3,75,2,NA,NA,NA,6.png,27.png,0,None,None,None,None
trials,66,3,76,2,10,positive,acquisition,1750.JPG,20.png,0,None,None,None,None
trials,66,3,77,2,10,positive,extinction,empty.png,26.png,1,0,0,0,None
trials,66,3,78,2,NA,NA,NA,9000.JPG,5870.JPG,0,None,None,None,None
trials,66,3,79,2,NA,NA,NA,5720.JPG,5250.JPG,0,None,None,None,None
trials,66,3,80,2,NA,NA,NA,9280.JPG,5660.JPG,0,None,None,None,None
trials,66,3,81,2,8,negative,extinction,empty.png,23.png,0,None,None,None,None
trials,66,3,82,2,8,negative,extinction,empty.png,8.png,0,None,None,None,None
trials,66,3,83,2,10,neutral,acquisition,7004.JPG,14.png,0,None,None,None,None
trials,66,3,84,2,10,positive,extinction,empty.png,3.png,0,None,None,None,None
trials,66,3,85,2,NA,NA,NA,13.png,empty.png,0,None,None,None,None
trials,66,3,86,2,NA,NA,NA,5720.JPG,5250.JPG,0,None,None,None,None
trials,66,3,87,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,3,88,2,10,neutral,acquisition,7705.JPG,11.png,0,None,None,None,None
trials,66,3,89,2,10,positive,acquisition,1721.JPG,1.png,1,0,0,10,None
trials,66,3,90,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,3,91,2,10,neutral,extinction,empty.png,4.png,0,None,None,None,None
trials,66,3,92,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,3,93,2,9,negative,acquisition,2100.JPG,17.png,0,None,None,None,None
trials,66,3,94,2,NA,NA,NA,15.png,16.png,0,None,None,None,None
trials,66,3,95,2,9,positive,acquisition,1600.JPG,12.png,0,None,None,None,None
trials,66,3,96,2,10,positive,extinction,empty.png,5.png,0,None,None,None,None
trials,66,3,97,2,NA,NA,NA,empty.png,5780.JPG,0,None,None,None,None
trials,66,3,98,2,NA,NA,NA,6.png,27.png,0,None,None,None,None
trials,66,3,99,2,10,neutral,acquisition,7025.JPG,21.png,1,0,0,10,None
trials,66,3,100,2,9,negative,extinction,empty.png,8.png,0,None,None,None,None
trials,66,3,101,2,10,negative,acquisition,2276.JPG,9.png,0,None,None,None,None
trials,66,3,102,2,NA,NA,NA,9000.JPG,5870.JPG,0,None,None,None,None
trials,66,3,103,2,NA,NA,NA,empty.png,empty.png,0,None,None,None,None
trials,66,3,104,2,NA,NA,NA,6.png,27.png,0,None,None,None,None
trials,66,3,105,2,10,negative,acquisition,2100.JPG,17.png,1,10,0,0,None
trials,66,3,106,2,10,positive,acquisition,1600.JPG,12.png,0,None,None,None,None
trials,66,3,107,2,NA,NA,NA,19.png,empty.png,0,None,None,None,None
trials,66,3,108,2,NA,NA,NA,5970.JPG,empty.png,0,None,None,None,None
trials,66,3,109,2,9,negative,extinction,empty.png,23.png,0,None,None,None,None
