subjnr;blocknr;trialnr;adaptation_target;us_valence;cs_filename;premask_filename;postmask_filename;us_filename;cs_duration;direction_pretrial; direction; reversals; stepsize; pas_rating;VF_pos;VF_neg
7;2;29;pas_3;positive;Z   U   N   T;maske_1.bmp;maske_2.bmp;Father 1.jpg;0.0955;-1;-1;23;0.0005;3;yes;no
7;2;30;pas_5;positive;V   A   P   S;maske_1.bmp;maske_2.bmp;Gazing 6.jpg;0.118;-1;-1;25;0.0005;6;yes;no
7;2;31;pas_5;positive;S   P   A   V;maske_1.bmp;maske_2.bmp;Collaboration 1.jpg;0.1175;-1;-1;25;0.0005;6;yes;no
7;2;32;pas_3;negative;K   L   E   M;maske_2.bmp;maske_1.bmp;Fire 2.jpg;0.0955;-1;-1;23;0.0005;3;no;yes
7;2;33;pas_5;positive;V   A   S   P;maske_1.bmp;maske_2.bmp;Siblings 1.jpg;0.117;-1;-1;25;0.0005;6;yes;no
7;2;34;pas_5;negative;F   O   R   B;maske_1.bmp;maske_2.bmp;Angry face 3.jpg;0.1165;-1;-1;25;0.0005;6;no;yes
7;2;35;pas_3;positive;G   U   T   Z;maske_2.bmp;maske_1.bmp;Excited face 5.jpg;0.0955;-1;-1;23;0.0005;5;yes;no
7;2;36;pas_3;positive;Z   U   N   T;maske_2.bmp;maske_1.bmp;Cat 5.jpg;0.095;-1;-1;23;0.0005;3;yes;no
7;2;37;pas_3;positive;G   N   U   Z;maske_2.bmp;maske_1.bmp;Picnic 2.jpg;0.095;-1;-1;23;0.0005;5;yes;no
7;2;38;pas_3;positive;N   U   G   Z;maske_2.bmp;maske_1.bmp;Penguins 2.jpg;0.0945;-1;-1;23;0.0005;6;yes;no
7;2;39;pas_5;negative;R   O   B   F;maske_1.bmp;maske_2.bmp;Garbage dump 1.jpg;0.116;-1;-1;25;0.0005;5;no;yes
7;2;40;pas_5;positive;S   P   A   V;maske_2.bmp;maske_1.bmp;Dessert 8.jpg;0.116;-1;-1;25;0.0005;6;yes;no
7;2;41;pas_3;negative;M   E   H   K;maske_1.bmp;maske_2.bmp;Hallway 1.jpg;0.094;-1;-1;23;0.0005;5;no;yes
7;2;42;pas_5;positive;S   A   P   V;maske_1.bmp;maske_2.bmp;Beach 5.jpg;0.1155;-1;-1;25;0.0005;6;yes;no
7;2;43;pas_3;negative;K   L   E   H;maske_2.bmp;maske_1.bmp;Miserable pose 4.jpg;0.0935;-1;1;24;0.0005;2;no;yes
7;2;44;pas_3;negative;K   L   E   M;maske_1.bmp;maske_2.bmp;Ferret 1.jpg;0.094;1;1;24;0.0005;2;no;yes
7;2;45;pas_5;positive;V   A   P   S;maske_2.bmp;maske_1.bmp;Mother 6.jpg;0.115;-1;1;26;0.0005;2;yes;no
7;2;46;pas_3;negative;H   E   M   K;maske_2.bmp;maske_1.bmp;Depressed pose 1.jpg;0.0945;1;1;24;0.0005;2;no;yes
7;2;47;pas_3;positive;Z   U   N   G;maske_1.bmp;maske_2.bmp;Bird 3.jpg;0.095;1;1;24;0.0005;3;yes;no
7;2;48;pas_3;negative;K   E   H   M;maske_1.bmp;maske_2.bmp;Dog 23.jpg;0.095;1;1;24;0.0005;3;no;yes
7;2;49;pas_5;negative;J   O   R   F;maske_1.bmp;maske_2.bmp;Cockroach 1.jpg;0.1155;1;1;26;0.0005;4;no;yes
7;2;50;pas_5;positive;W   A   P   S;maske_2.bmp;maske_1.bmp;Zebra 1.jpg;0.116;1;-1;27;0.0005;6;yes;no
7;2;51;pas_3;negative;H   E   L   K;maske_2.bmp;maske_1.bmp;Fence 4.jpg;0.095;1;-1;25;0.0005;4;no;yes
7;2;52;pas_5;negative;B   J   O   F;maske_2.bmp;maske_1.bmp;Frustrated pose 7.jpg;0.1155;-1;1;28;0.0005;4;no;yes
7;2;53;pas_3;positive;T   U   N   G;maske_2.bmp;maske_1.bmp;Baby 6.jpg;0.0945;-1;1;26;0.0005;1;yes;no
7;2;54;pas_3;negative;K   E   L   M;maske_2.bmp;maske_1.bmp;Baby 7.jpg;0.095;1;1;26;0.0005;1;no;yes
7;2;55;pas_5;negative;F   R   O   B;maske_2.bmp;maske_1.bmp;Scared face 4.jpg;0.116;1;1;28;0.0005;1;no;yes
7;2;56;pas_5;negative;B   O   R   F;maske_2.bmp;maske_1.bmp;Destruction 7.jpg;0.1165;1;1;28;0.0005;2;no;yes
7;2;57;pas_5;positive;P   A   W   S;maske_1.bmp;maske_2.bmp;Couple 8.jpg;0.117;1;1;28;0.0005;4;yes;no
7;2;58;pas_5;negative;J   O   R   B;maske_1.bmp;maske_2.bmp;Frustrated pose 5.jpg;0.1175;1;-1;29;0.0005;6;no;yes
7;2;59;pas_5;positive;P   S   A   V;maske_2.bmp;maske_1.bmp;Coffee 1.jpg;0.117;-1;-1;29;0.0005;5;yes;no
7;2;60;pas_5;negative;J   O   B   F;maske_1.bmp;maske_2.bmp;Animal carcass 1.jpg;0.117;-1;-1;29;0.0005;6;no;yes
7;2;61;pas_3;positive;T   U   G   Z;maske_1.bmp;maske_2.bmp;Dog 2.jpg;0.0955;1;-1;27;0.0005;5;yes;no
7;2;62;pas_3;negative;L   E   M   K;maske_2.bmp;maske_1.bmp;Sad pose 1.jpg;0.095;-1;-1;27;0.0005;4;no;yes
7;2;63;pas_3;positive;G   U   N   T;maske_1.bmp;maske_2.bmp;Parade 1.jpg;0.0945;-1;-1;27;0.0005;3;yes;no
7;2;64;pas_5;positive;S   W   A   P;maske_2.bmp;maske_1.bmp;Excited face 3.jpg;0.1165;-1;1;30;0.0005;2;yes;no
7;3;1;pas_5;positive;S   P   A   V;maske_2.bmp;maske_1.bmp;Yoga 3.jpg;0.117;1;-1;31;0.0005;6;yes;no
7;3;2;pas_3;negative;K   E   H   M;maske_1.bmp;maske_2.bmp;Gun 1.jpg;0.0945;-1;1;28;0.0005;2;no;yes
7;3;3;pas_5;negative;B   J   O   F;maske_1.bmp;maske_2.bmp;Frustrated pose 3.jpg;0.1165;-1;-1;31;0.0005;6;no;yes
7;3;4;pas_3;positive;T   U   G   Z;maske_1.bmp;maske_2.bmp;Beach 7.jpg;0.095;1;1;28;0.0005;3;yes;no
7;3;5;pas_3;negative;L   E   M   K;maske_2.bmp;maske_1.bmp;Miserable face 2.jpg;0.095;1;1;28;0.0005;3;no;yes
7;3;6;pas_5;negative;F   R   O   B;maske_2.bmp;maske_1.bmp;Fence 4.jpg;0.116;-1;-1;31;0.0005;6;no;yes
7;3;7;pas_3;negative;K   L   E   H;maske_1.bmp;maske_2.bmp;Garbage dump 5.jpg;0.095;1;1;28;0.0005;3;no;yes
7;3;8;pas_5;positive;P   A   W   S;maske_2.bmp;maske_1.bmp;Picnic 1.jpg;0.1155;-1;-1;31;0.0005;5;yes;no
7;3;9;pas_5;negative;J   O   R   B;maske_1.bmp;maske_2.bmp;Car accident 2.jpg;0.1155;-1;-1;31;0.0005;6;no;yes
7;3;10;pas_5;positive;W   A   P   S;maske_2.bmp;maske_1.bmp;Sunset 3.jpg;0.115;-1;-1;31;0.0005;6;yes;no
7;3;11;pas_5;negative;J   O   R   F;maske_2.bmp;maske_1.bmp;Pollution 1.jpg;0.1145;-1;1;32;0.0005;4;no;yes
7;3;12;pas_3;positive;G   U   T   Z;maske_1.bmp;maske_2.bmp;Baby 2.jpg;0.095;1;1;28;0.0005;3;yes;no
7;3;13;pas_5;negative;B   O   R   F;maske_1.bmp;maske_2.bmp;Angry face 5.jpg;0.115;1;-1;33;0.0005;6;no;yes
