subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,sicher1,sicher2,sicher3,sicher4,sicher5,sicher6,crit1,crit2,crit3
2,5,14,ec,5,negative,J   O   L   F,maske_1.bmp,maske_2.bmp,8485.bmp,0.081,no,no,yes,no,no,no,no,no,no
2,5,15,ec,1,negative,B   L   O   F,maske_1.bmp,maske_2.bmp,9331.bmp,0.081,no,no,yes,no,no,no,no,no,no
2,5,16,ec,1,positive,S   N   A   D,maske_2.bmp,maske_1.bmp,1463.bmp,0.081,no,no,no,yes,no,no,no,no,no
2,5,17,ec,7,positive,W   A   D   S,maske_1.bmp,maske_2.bmp,2040.bmp,0.081,no,no,no,yes,no,no,no,no,no
2,5,18,ec,8,positive,S   P   A   W,maske_1.bmp,maske_2.bmp,2660.bmp,0.081,no,no,no,yes,no,no,no,no,no
2,5,19,ec,4,negative,B   O   L   F,maske_1.bmp,maske_2.bmp,3550.bmp,0.081,no,no,yes,no,no,no,no,no,no
2,5,20,ec,3,negative,F   L   O   R,maske_2.bmp,maske_1.bmp,9340.bmp,0.081,no,no,no,yes,no,no,no,no,no
2,6,1,ec,2,positive,D   W   A   P,maske_1.bmp,maske_2.bmp,7470.bmp,0.079,no,yes,no,no,no,no,no,no,no
2,6,2,ec_control,2,positive,K   I   G   M,maske_1.bmp,maske_2.bmp,4606.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,6,3,ec,1,positive,S   N   A   D,maske_1.bmp,maske_2.bmp,5831.bmp,0.079,no,yes,no,no,no,no,no,no,no
2,6,4,ec,5,negative,J   O   L   F,maske_2.bmp,maske_1.bmp,9561.bmp,0.079,no,yes,no,no,no,no,no,no,no
2,6,5,ec,7,positive,W   A   D   S,maske_2.bmp,maske_1.bmp,2080.bmp,0.079,no,yes,no,no,no,no,no,no,no
2,6,6,ec,2,negative,F   O   R   B,maske_2.bmp,maske_1.bmp,9000.bmp,0.079,no,yes,no,no,no,no,no,no,no
2,6,7,ec,3,negative,F   L   O   R,maske_1.bmp,maske_2.bmp,9102.bmp,0.079,no,yes,no,no,no,no,no,no,no
2,6,8,ec,8,negative,F   R   O   L,maske_2.bmp,maske_1.bmp,9041.bmp,0.079,no,yes,no,no,no,no,no,no,no
2,6,9,ec_control,1,negative,T   E   H   V,maske_2.bmp,maske_1.bmp,6020.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,6,10,ec,7,negative,J   O   R   B,maske_1.bmp,maske_2.bmp,9050.bmp,0.079,no,yes,no,no,no,no,no,no,no
2,6,11,ec,6,positive,S   N   A   W,maske_2.bmp,maske_1.bmp,8170.bmp,0.079,no,yes,no,no,no,no,no,no,no
2,6,12,ec_control,2,negative,H   Y   V   Z,maske_2.bmp,maske_1.bmp,9330.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,6,13,ec_control,1,positive,G   M   U   X,maske_2.bmp,maske_1.bmp,5994.bmp,0.5,no,no,no,no,no,yes,no,no,no
2,6,14,ec,1,negative,B   L   O   F,maske_2.bmp,maske_1.bmp,6242.bmp,0.079,no,no,yes,no,no,no,no,no,no
2,6,15,ec,5,positive,S   W   A   D,maske_1.bmp,maske_2.bmp,8080.bmp,0.079,no,no,no,yes,no,no,no,no,no
2,6,16,ec,8,positive,S   P   A   W,maske_2.bmp,maske_1.bmp,2550.bmp,0.079,no,no,no,yes,no,no,no,no,no
2,6,17,ec,6,negative,B   L   O   R,maske_1.bmp,maske_2.bmp,2141.bmp,0.079,no,yes,no,no,no,no,no,no,no
2,6,18,ec,4,negative,B   O   L   F,maske_2.bmp,maske_1.bmp,3160.bmp,0.079,no,yes,no,no,no,no,no,no,no
2,6,19,ec,4,positive,N   A   P   S,maske_2.bmp,maske_1.bmp,1710.bmp,0.079,no,yes,no,no,no,no,no,no,no
2,6,20,ec,3,positive,S   P   A   D,maske_1.bmp,maske_2.bmp,8501.bmp,0.079,no,yes,no,no,no,no,no,no,no
2,7,1,ec,6,positive,S   N   A   W,maske_2.bmp,maske_1.bmp,5910.bmp,0.081,no,no,no,yes,no,no,no,no,no
2,7,2,ec,3,negative,F   L   O   R,maske_2.bmp,maske_1.bmp,6555.bmp,0.081,no,yes,no,no,no,no,no,no,no
2,7,3,ec,5,positive,S   W   A   D,maske_2.bmp,maske_1.bmp,8370.bmp,0.081,no,no,no,yes,no,no,no,no,no
2,7,4,ec,2,negative,F   O   R   B,maske_2.bmp,maske_1.bmp,2710.bmp,0.081,no,no,yes,no,no,no,no,no,no
