subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,id_opt_1,id_opt_2,id_opt_3,id_opt_4,opt_1,opt_2,opt_3,opt_4
50,4,2,ec,7,positive,N   A   P   S,maske_2.bmp,maske_1.bmp,2311.bmp,0.098,B   L   O   F,F   R   O   L,N   A   P   S,W   A   P   S,no,no,no,yes,
50,4,3,ec,1,negative,B   L   O   F,maske_1.bmp,maske_2.bmp,2900.bmp,0.098,W   A   P   S,S   N   A   W,J   O   R   F,B   L   O   F,no,no,no,yes,
50,4,4,ec,6,positive,S   P   A   W,maske_1.bmp,maske_2.bmp,7580.bmp,0.098,F   R   O   B,S   W   A   P,S   P   A   W,B   L   O   F,no,no,yes,no,
50,4,5,ec,2,negative,L   O   B   F,maske_1.bmp,maske_2.bmp,9404.bmp,0.098,L   O   B   F,F   R   O   B,S   P   A   W,S   N   A   W,yes,no,no,no,
50,4,6,ec,8,positive,W   A   P   S,maske_1.bmp,maske_2.bmp,5830.bmp,0.098,W   A   P   S,J   O   R   F,B   O   R   F,S   P   A   W,yes,no,no,no,
50,4,7,ec,3,positive,S   W   A   P,maske_1.bmp,maske_2.bmp,7330.bmp,0.098,L   O   B   F,S   N   A   D,S   W   A   P,B   O   L   F,no,no,yes,no,
50,4,8,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,9050.bmp,0.5,K   I   G   M,T   E   H   V,G   M   U   X,H   Y   V   Z,no,no,no,yes,
50,4,9,ec,5,negative,F   R   O   L,maske_1.bmp,maske_2.bmp,9330.bmp,0.098,B   L   O   F,F   R   O   L,S   W   A   D,S   W   A   P,no,yes,no,no,
50,4,10,ec,1,positive,S   N   A   W,maske_2.bmp,maske_1.bmp,8370.bmp,0.098,B   R   O   F,D   W   A   P,F   R   O   B,S   N   A   W,no,yes,no,no,
50,4,11,ec,5,positive,S   W   A   D,maske_2.bmp,maske_1.bmp,5910.bmp,0.098,S   W   A   D,J   O   R   F,B   O   R   F,S   N   A   W,yes,no,no,no,
50,4,12,ec,8,negative,J   O   R   F,maske_2.bmp,maske_1.bmp,9041.bmp,0.098,S   W   A   D,L   O   B   F,N   A   P   S,J   O   R   F,no,no,no,yes,
50,4,13,ec,4,negative,F   R   O   B,maske_2.bmp,maske_1.bmp,6020.bmp,0.098,W   A   P   S,B   O   L   F,F   R   O   B,S   N   A   D,no,no,yes,no,
50,4,14,ec,7,negative,B   R   O   F,maske_2.bmp,maske_1.bmp,9435.bmp,0.098,S   W   A   P,S   N   A   D,B   O   R   F,B   R   O   F,no,no,no,yes,
50,4,15,ec,6,negative,B   O   L   F,maske_2.bmp,maske_1.bmp,9430.bmp,0.098,N   A   P   S,F   R   O   L,D   W   A   P,B   O   L   F,no,no,no,yes,
50,4,16,ec,3,negative,B   O   R   F,maske_2.bmp,maske_1.bmp,8485.bmp,0.098,D   W   A   P,S   P   A   W,B   O   R   F,B   R   O   F,no,no,yes,no,
50,4,17,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,2550.bmp,0.5,K   I   G   M,H   Y   V   Z,T   E   H   V,G   M   U   X,yes,no,no,no,
50,4,18,ec_control,1,positive,G   M   U   X,maske_1.bmp,maske_2.bmp,5994.bmp,0.5,H   Y   V   Z,G   M   U   X,K   I   G   M,T   E   H   V,no,yes,no,no,
