blocknr trialtyp set simseq einzelpaar kritisch vigiltarget s1 s2 s1valent s1dauer s1bildtyp s1position s2valent s2dauer s2bildtyp s2position
4 0 0 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
4 0 0 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
4 0 0 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
5 1 1 1 2 1 2 1 45 0 0 1 1 1 1 2 2
5 1 1 1 2 1 0 2 46 0 1 1 1 1 1 2 2
5 67 1 2 1 1 0 3 47 0 1 1 1 1 1 2 2
5 2 1 1 2 1 0 18 56 0 1 1 2 1 1 2 1
5 3 1 1 2 0 0 73 51 0 1 2 2 1 1 2 1
5 58 1 2 1 1 0 19 52 0 1 1 2 1 1 2 1
5 4 1 1 2 0 1 31 43 0 0 1 1 0 1 1 2
5 3 1 1 2 0 0 79 80 0 1 2 1 0 1 2 2
5 2 1 1 2 0 1 39 77 0 1 1 2 0 1 2 1
5 4 1 1 2 0 1 38 35 0 1 1 2 0 1 1 1
5 56 1 2 1 0 1 17 34 0 1 1 2 0 0 1 1
5 78 1 2 1 0 0 74 75 0 1 2 2 0 1 2 1
5 1 1 1 2 1 0 4 57 0 0 1 1 -1 1 2 2
5 1 1 1 2 1 0 5 58 0 1 1 1 -1 1 2 2
5 67 1 2 1 1 0 6 59 0 1 1 1 -1 1 2 2
5 2 1 1 2 1 0 20 68 0 1 1 2 -1 1 2 1
5 3 1 1 2 0 0 70 63 0 1 2 2 -1 1 2 1
5 58 1 2 1 1 0 21 64 0 1 1 2 -1 1 2 1
5 4 1 1 2 0 1 28 27 0 0 1 1 0 1 1 2
5 3 1 1 2 0 0 76 71 0 1 2 1 0 1 2 2
5 2 1 1 2 0 2 17 78 0 1 1 2 0 1 2 1
5 4 1 1 2 0 1 37 36 0 1 1 2 0 1 1 1
5 56 1 2 1 0 1 26 40 0 1 1 2 0 0 1 1
5 78 1 2 1 0 0 72 69 0 1 2 2 0 1 2 1
5 1 2 1 2 1 0 7 48 0 0 1 1 1 1 2 2
5 1 2 1 2 1 0 8 49 0 1 1 1 1 1 2 2
