US	CS	Time	PC_Nummer	PCName	timeStamp
FeaRaFD5	Water6	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD5	Water4	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD1	Aero01	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD5	Water6	177	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD4	Water5	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD3	Water6	177	3	laborrechner3	2014-12-08_16.12.18.736000
MereExpo	Aero05	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD5	Aero03	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS2	Aero03	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD4	Aero03	177	3	laborrechner3	2014-12-08_16.12.18.736000
MereExpo	Water8	172	3	laborrechner3	2014-12-08_16.12.18.736000
MereExpo	Aero03	172	3	laborrechner3	2014-12-08_16.12.18.736000
MereExpo	Aero07	173	3	laborrechner3	2014-12-08_16.12.18.736000
MereExpo	Water2	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD5	Aero07	172	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD3	Water8	177	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD1	Water4	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS3	Aero05	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD5	Water3	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS1	Aero03	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD4	Water5	177	3	laborrechner3	2014-12-08_16.12.18.736000
